Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~177|Field=Comment~String~Comment~177|Field=Description~String~Description~177|Field=Designator~String~Designator~177|Field=Footprint~String~Footprint~177|Field=Quantity~Integer~Quantity~177|Field=Manufacturer Part Number~String~Manufacturer Part Number~177|Field=PartType~String~PartType~177|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~177|Field=Supplier 1~String~Supplier 1~177|Field=Supplier Part Number 1~String~Supplier Part Number 1~177|Field=Manufacturer~String~Manufacturer~177|Field=Part Description~String~Part Description~177|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR-Micro_1v0.PrjPcb|ReportField=ProjectFullPath~d:\LimePCBs\LimeSDR-Micro\GIT\hardware\1v0\LimeSDR-Micro_1v0.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR-Micro_1v0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~646|ReportField=ReportTime~14:11:51|ReportField=ReportDate~2023-12-27|ReportField=ReportDateTime~2023-12-27 14:11:51|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2023-12-27|ReportField=CurrentTime~14:08:46|ReportField=Date~|ReportField=DocumentFullPathAndName~d:\LimePCBs\LimeSDR-Micro\GIT\hardware\1v0\Schematics\01_Block_Diagram.SchDoc|ReportField=DocumentName~01_Block_Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2023-11-29|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR-Micro_1v0.PrjPcb|ReportField=Revision~v1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~Block diagram|ReportField=DataSourceFileName~LimeSDR-Micro_1v0.PrjPcb|ReportField=DataSourceFullPath~d:\LimePCBs\LimeSDR-Micro\GIT\hardware\1v0\LimeSDR-Micro_1v0.PrjPcb
1||4.7pF, 25V||C1, C2, C3, C4, C5, C6, C9, C11, C14, C16, C19, C21, C24, C26|CAP01005|14||4.7pF, 25V|GRM0225C1E4R7BA03L|Digi-Key|490-13585-1-ND|Murata|CAP CER 4.7PF 25V C0G/NP0 01005
2||22pF, 50V||C7, C169, C170, C171, C176, C212, C213, C214, C215|CAP0201|9||22pF, 50V|GRM0335C1H220JA01D|Digi-Key|490-6123-1-ND|Murata|22 pF ±5% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)
3||0R||C8, C12, C13, C17, C18, C22, C23, C27|CAP01005|8||0R|ERJ-XGN0R00Y|Digi-Key|P0.0AWCT-ND|Panasonic|RES SMD 0 OHM JUMP 1/32W 01005
4|NF|22pF, 50V||C10, C15, C20, C25|CAP01005|4||22pF, 50V|GRM0225C1H220JA02L|Digi-Key|490-GRM0225C1H220JA02LCT-ND|Murata|22pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
5||1uF, 6.3V||C28, C52, C54, C55, C56, C57, C58, C59, C61, C63, C65, C66, C67, C68, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C84, C85, C86, C87, C88, C89, C91, C93, C95, C97, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C127, C138, C150, C187, C238, C239, C254, C255|CAP0201|58||1uF, 6.3V|JMK063ABJ105MP-F|Digi-Key|587-5864-2-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
6|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, NF, NF, NF|100pF, 50V||C29, C30, C33, C34, C132, C177, C198, C199, C200, C202, C203, C204, C205, C206, C211, C221, C230, C240, C249|CAP0201|19||100pF, 50V|C0603C0G1H101J030BA|Digi-Key|445-1786-1-ND|TDK|100 pF ±5% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)
7|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue]|100nF, 6.3V||C31, C32, C35, C36, C45, C50, C51, C125, C131, C133, C151, C163, C164, C165, C166, C168, C172, C173, C174, C175, C179, C180, C181, C182, C183, C184, C185, C186, C188, C189, C190, C191, C194, C195, C196, C201, C207, C208, C220, C231, C251|CAP0201|41||100nF, 6.3V|CL03A104MP3NNNC|Digi-Key|1276-1321-1-ND|Samsung|100 pF ±5% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)
8||1nF, 25V||C37, C38, C42, C43, C46, C47, C48, C49, C53, C60, C62, C64, C69, C83, C90, C92, C94, C96, C98, C167, C192, C197, C209, C210|CAP0201|24||1nF, 25V|C0603X7R1E102K030BA|Digi-Key|445-7275-1-ND|TDK Corporation|1000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
9||510pF, 50V||C39, C40, C41, C44|CAP0402|4||510pF, 50V|GRM1555C1H511JA01D|Digi-Key|490-3237-1-ND|Murata Electronics North America|510pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
10||220nF, 10V||C112, C113, C114, C115, C117, C124, C128|CAP0201|7||220nF, 10V|GRM033R61A224ME90D|Digi-Key|490-9984-1-ND|Murata|0.22 µF ±20% 10V Ceramic Capacitor X5R 0201 (0603 Metric)
