Altium Designer Pick and Place Locations
d:\LimePCBs\LimeSDR-Micro\GIT\hardware\1v1\Project Outputs for LimeSDR-Micro_1v1\Pick Place\Pick Place for LimeSDR-Micro_1v1.csv

========================================================================================================================
File Design Information:

Date:       27-06-24
Time:       14:27
Revision:   cee254367f78e7b4fd0b939c3e410da43e84e5a1
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R134","0R","BottomLayer","RES0201","18.5500","24.1000","360",""
"R215","10k, 1%","BottomLayer","RES0201","18.4750","21.3500","315",""
"R216","10k, 1%","BottomLayer","RES0201","-0.2250","6.6200","270",""
"R144","0R","BottomLayer","RES0201","22.2250","13.7250","90",""
"R214","0R","BottomLayer","RES0201","17.9500","29.0000","90",""
"IC32","74LVC1G3157FZ4","TopLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","21.2750","2.1500","135",""
"C256","100nF, 6.3V","TopLayer","CAP0201","19.6000","2.6250","180",""
"R82","6.8R, 1%","BottomLayer","RES0201","8.2750","15.9500","270",""
"R79","6.8R, 1%","BottomLayer","RES0201","7.6250","15.9500","270",""
"R74","10k, 1%","BottomLayer","RES0201","2.3250","22.4250","180",""
"R75","0R","BottomLayer","RES0201","2.0500","23.3250","270",""
"R84","0R","BottomLayer","RES0201","2.5000","21.7750","360",""
"R88","0R","TopLayer","RES0201","14.8250","18.9500","270",""
"R87","10k, 1%","TopLayer","RES0201","16.7750","17.0750","90",""
"D1","RB521S-30L2-TP","TopLayer","RB521S-30L2-TP_DFN1006","15.6250","17.1500","180",""
"R109","10k, 1%","BottomLayer","RES0201","17.8750","25.6500","360",""
"R108","10k, 1%","BottomLayer","RES0201","20.9500","26.4250","270",""
"IC7","SN65LVDS1","BottomLayer","SOT23-5_NO_SILK","2.4500","22.9500","180",""
"C6","4.7pF, 25V","BottomLayer","CAP01005","15.2000","8.9750","360",""
"C4","4.7pF, 25V","BottomLayer","CAP01005","16.0500","8.9750","360",""
"C3","4.7pF, 25V","BottomLayer","CAP01005","14.3750","8.9250","180",""
"C1","4.7pF, 25V","BottomLayer","CAP01005","13.6250","8.9250","180",""
"C150","1uF, 6.3V","TopLayer","CAP0201","16.4950","13.3500","360",""
"C142","4.7uF, 6.3V","TopLayer","CAP0201","15.2250","14.3250","360",""
"R213","4.7k, 1%","BottomLayer","RES0201","31.8500","22.7000","180",""
"R212","3k3, 1%","BottomLayer","RES0201","31.8500","23.4500","360",""
"R207","0R","BottomLayer","RES0201","30.6000","23.0500","180",""
"R205","0R","BottomLayer","RES0201","29.4250","23.0500","360",""
"IC31","AP7330","BottomLayer","AP7330-W5-7_SOT25","34.4000","23.7250","180",""
"C255","1uF, 6.3V","BottomLayer","CAP0201","31.5750","24.4000","90",""
"C254","1uF, 6.3V","BottomLayer","CAP0201","35.5750","25.7000","180",""
"C24","4.7pF, 25V","BottomLayer","CAP01005","18.9875","9.4700","270",""
"R56","1k, 1%","BottomLayer","RES01005","18.4750","10.1750","270",""
"R52","1k, 1%","BottomLayer","RES01005","18.4750","9.2750","270",""
"R47","1k, 1%","BottomLayer","RES01005","18.3750","7.3550","90",""
"R45","1k, 1%","BottomLayer","RES01005","18.3750","8.0150","90",""
"R40","1k, 1%","BottomLayer","RES01005","15.2750","7.4700","270",""
"R38","1k, 1%","BottomLayer","RES01005","15.2500","6.8100","270",""
"R32","1k, 1%","BottomLayer","RES01005","10.0750","9.0250","90",""
"R29","1k, 1%","BottomLayer","RES01005","10.2500","9.6750","90",""
"C112","220nF, 10V","TopLayer","CAP0201","0.4250","22.6000","360",""
