Altium Designer Pick and Place Locations
d:\LimePCBs\LimeSDR-Micro\GIT\hardware\M.2\1v1\Project Outputs for LimeSDR-Micro_M.2_2280_1v1\Pick Place\Pick Place for LimeSDR-Micro_M.2_2280_1v1.txt

========================================================================================================================
File Design Information:

Date:       19-12-25
Time:       09:42
Revision:   237e3e8c75b223ff85bf5e50ac9eb2b5fd390f89
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                       
R226       0R                    BottomLayer RES0201                                12.4250      20.3000      180      ""                                                                
R225       0R                    BottomLayer RES0201                                10.1750      21.0750      270      ""                                                                
ESD10      ESD8472               BottomLayer ESD8472_X3DFN2                         23.7250      1.8500       180      ""                                                                
ESD7       ESD8472               TopLayer    ESD8472_X3DFN2                         35.0750      3.6500       360      ""                                                                
ESD6       ESD8472               TopLayer    ESD8472_X3DFN2                         73.0000      15.5250      90       ""                                                                
R167       0R                    TopLayer    RES0201                                36.6950      4.1750       180      ""                                                                
ESD9       ESD8472               TopLayer    ESD8472_X3DFN2                         37.0250      2.4500       270      ""                                                                
IC15       ATECC508A             BottomLayer ATECC508A_UDFN8_v2                     70.6500      18.9250      270      ""                                                                
IC19       74LVC1G3157FZ4        BottomLayer 74LVC1G3157FZ4_SPDT_SW_DFN1410-6       16.2500      8.0500       180      ""                                                                
C180       "100nF, 6.3V"         BottomLayer CAP0201                                69.6200      16.2250      180      ""                                                                
C206       "1nF, 25V"            BottomLayer CAP0201                                15.1000      7.2750       90       ""                                                                
C186       "100nF, 6.3V"         BottomLayer CAP0201                                24.3750      10.9250      180      ""                                                                
R212       0R                    BottomLayer RES0402                                8.9750       2.8000       360      ""                                                                
R209       0R                    TopLayer    RES0402                                10.2750      2.6500       90       ""                                                                
R211       0R                    BottomLayer RES0402                                2.6000       19.8500      180      ""                                                                
R208       0R                    BottomLayer RES0402                                2.6000       18.6000      180      ""                                                                
R74        "100k, 1%"            BottomLayer RES0201                                0.9000       18.9000      360      ""                                                                
R142       0R                    TopLayer    RES0201                                43.7750      18.5250      360      ""                                                                
R141       0R                    BottomLayer RES0201                                43.4875      20.6950      90       ""                                                                
R195       "10k, 1%"             BottomLayer RES0201                                10.7500      6.4000       180      ""                                                                
R154       0R                    BottomLayer RES0201                                27.3000      7.7750       360      ""                                                                
R153       0R                    BottomLayer RES0201                                27.1750      9.1250       360      ""                                                                
R150       "47R, 1%"             BottomLayer RES0201                                27.8000      4.5250       360      ""                                                                
R156       0R                    BottomLayer RES0201                                19.8750      4.7000       360      ""                                                                
IC24       74LVC1G3157FZ4        BottomLayer 74LVC1G3157FZ4_SPDT_SW_DFN1410-6       10.3000      5.2875       90       ""                                                                
IC16       LMK00101              BottomLayer LMK00101_WQFN32                        23.6250      7.5000       360      ""                                                                
FR42       "600R, 0.27A"         BottomLayer RES0201                                18.1250      9.9750       360      ""                                                                
FR40       "600R, 0.27A"         BottomLayer RES0201                                29.1300      6.8500       180      ""                                                                
FR39       "600R, 0.27A"         BottomLayer RES0201                                19.6250      10.8500      360      ""                                                                
