Altium Designer Pick and Place Locations
D:\Aleksandr\Desktop\LimeSDR-Micro-main\LimeSDR-Micro-main\hardware\mPCIe\1v3\Project Outputs for LimeSDR-Micro_mPCIe_1v3\Pick Place\Pick Place for LimeSDR-Micro_mPCIe_1v3.csv

========================================================================================================================
File Design Information:

Date:       09-01-26
Time:       19:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"IC16","ATECC508A","BottomLayer","ATECC508A_UDFN8_v2","38.4250","26.1000","180",""
"C180","100nF, 6.3V","TopLayer","CAP0201","35.0000","27.5350","180",""
"IC17","LMK00101","BottomLayer","LMK00101_WQFN32","7.7000","21.6500","360",""
"R133","0R","BottomLayer","RES0201","4.5000","25.3250","270",""
"R132","0R","BottomLayer","RES0201","3.6500","25.3250","270",""
"R184","0R","TopLayer","RES0201","0.9850","24.9250","180",""
"ESD5","ESD8472","TopLayer","ESD8472_X3DFN2","40.1000","25.4750","90",""
"ESD9","ESD8472","TopLayer","ESD8472_X3DFN2","2.1000","5.1250","90",""
"ESD8","ESD8472","TopLayer","ESD8472_X3DFN2","26.5000","24.5750","180",""
"ESD7","ESD8472","TopLayer","ESD8472_X3DFN2","15.9750","24.8750","180",""
"C206","1nF, 25V","BottomLayer","CAP0201","1.7500","15.0750","360",""
"C201","100nF, 6.3V","BottomLayer","CAP0201","4.2250","19.2500","180",""
"X7","8-pin FPC connector","BottomLayer","503480-0800_8PIN_FPC_CONN","4.3250","27.6750","360",""
"C114","220nF, 10V","BottomLayer","CAP0201","4.6050","18.6875","360",""
"R72","100k, 1%","TopLayer","RES0201","0.4250","4.4500","0",""
"R74","10k, 1%","TopLayer","RES0201","15.5250","16.6000","90",""
"R73","10k, 1%","TopLayer","RES0201","17.7750","18.6250","180",""
"R205","0R","TopLayer","RES0402","10.3500","2.8000","90",""
"R204","0R","TopLayer","RES0402","29.1250","4.2500","360",""
"R202","0R","TopLayer","RES0402","9.2500","2.3000","90",""
"R201","0R","BottomLayer","RES0402","30.5750","3.7000","270",""
"R152","0R","BottomLayer","RES0201","7.0750","25.3250","90",""
"R146","47R, 1%","TopLayer","RES0201","9.8300","6.6000","90",""
"FR41","600R, 0.27A","BottomLayer","RES0201","1.3550","24.9550","90",""
"FR39","600R, 0.27A","TopLayer","RES0201","21.7250","19.7750","270",""
"FR38","600R, 0.27A","BottomLayer","RES0201","4.4250","24.5000","360",""
"D1","RB521S-30L2-TP","TopLayer","RB521S-30L2-TP_DFN1006","9.7750","18.4000","180",""
"D2","RB521S-30L2-TP","TopLayer","RB521S-30L2-TP_DFN1006","17.4010","16.8500","90",""
"D3","RB521S-30L2-TP","TopLayer","RB521S-30L2-TP_DFN1006","14.9000","19.2750","90",""
"C113","1uF, 6.3V","TopLayer","CAP0201","16.5000","17.0000","270",""
"C200","100pF, 50V","BottomLayer","CAP0201","0.9500","26.0250","270",""
"C199","100pF, 50V","BottomLayer","CAP0201","3.6500","20.4250","360",""
"C198","1uF, 6.3V","BottomLayer","CAP0201","3.8750","19.8250","360",""
"C193","100nF, 6.3V","BottomLayer","CAP0201","8.6250","18.0750","180",""
"C192","100nF, 6.3V","BottomLayer","CAP0201","7.8000","18.0750","90",""
"C191","100nF, 6.3V","BottomLayer","CAP0201","6.5000","18.0750","270",""
"C182","100pF, 50V","BottomLayer","CAP0201","6.4500","25.3250","270",""
"C181","1uF, 6.3V","BottomLayer","CAP0201","5.1500","25.3250","90",""
"R154","0R","BottomLayer","RES0201","18.5500","24.1000","360",""
"R155","10k, 1%","BottomLayer","RES0201","18.4750","21.3500","315",""
"R188","10k, 1%","BottomLayer","RES0201","0.0750","6.8200","270",""
"R84","0R","BottomLayer","RES0201","22.2250","13.7250","90",""
"R109","0R","BottomLayer","RES0201","17.9500","29.0000","90",""
"IC23","74LVC1G3157FZ4","TopLayer","74LVC1G3157FZ4_SPDT_SW_DFN1410-6","21.2750","2.1500","135",""
"C228","100nF, 6.3V","TopLayer","CAP0201","19.6000","2.6250","180",""
"R86","6.8R, 1%","BottomLayer","RES0201","8.2750","14.9500","270",""
"R82","6.8R, 1%","BottomLayer","RES0201","7.6250","14.9500","270",""
"R77","10k, 1%","BottomLayer","RES0201","2.3250","22.4250","180",""
"R78","0R","BottomLayer","RES0201","2.0500","23.3250","270",""
"R88","0R","BottomLayer","RES0201","2.5000","21.7750","360",""
"R90","0R","TopLayer","RES0201","16.1500","19.4000","90",""
"R111","10k, 1%","BottomLayer","RES0201","17.8750","25.6500","360",""
"R110","10k, 1%","BottomLayer","RES0201","20.9500","26.4250","270",""
"IC7","SN65LVDS1","BottomLayer","SOT23-5_NO_SILK","2.4500","22.9500","180",""
"C6","4.7pF, 25V","BottomLayer","CAP01005","15.2000","8.9750","360",""
"C4","4.7pF, 25V","BottomLayer","CAP01005","16.0500","8.9750","360",""
"C3","4.7pF, 25V","BottomLayer","CAP01005","14.3750","8.9250","180",""
"C1","4.7pF, 25V","BottomLayer","CAP01005","13.6250","8.9250","180",""
"C148","1uF, 6.3V","TopLayer","CAP0201","16.4950","13.3500","360",""
"C140","4.7uF, 6.3V","TopLayer","CAP0201","15.2250","14.3250","360",""
"R217","4.7k, 1%","BottomLayer","RES0201","31.8500","22.7000","180",""
"R216","3k3, 1%","BottomLayer","RES0201","31.8500","23.4500","360",""
"R206","0R","BottomLayer","RES0201","30.6000","23.0500","180",""
